KCl,0,0.5,1,2,4,NaCl
0,0,0.90752,1.5629,2.5455,4.3747
0.5,1.0096,1.6397,2.2451,3.4006,5.1838
1,1.8403,2.5053,2.7865,4.0129,5.8468
2,2.9868,3.7372,4.1991,5.0267,6.6332
4,5.0698,5.9473,6.4679,7.0724,8.0853
