KCl,0,0.5,1,2,4,NaCl
0,0,0.12297,0.29862,0.72172,1.6427
0.5,0.16294,0.36375,0.5225,1.0251,2.0143
1,0.37311,0.53914,0.82442,1.3469,2.3871
2,0.87078,1.1621,1.4448,1.8699,3.1226
4,2.1995,2.4344,2.7585,3.3136,4.403
